time,gFx,gFy,gFz,TgF
0.538198228,0.2885,0.1816,0.9435,1.003
0.538633593,0.2873,0.1825,0.9432,1.003
0.546234374,0.2866,0.1816,0.9454,1.004
0.546688072,0.2846,0.1794,0.9486,1.006
0.552729426,0.2836,0.1786,0.9501,1.007
0.553621874,0.2827,0.1767,0.9484,1.005
0.554018072,0.2792,0.1767,0.9471,1.003
0.554363385,0.2824,0.1769,0.9489,1.006
0.557277708,0.2841,0.1803,0.9484,1.006
0.557785208,0.2844,0.1799,0.9476,1.006
0.562389843,0.2844,0.1803,0.9484,1.006
0.563113489,0.2870,0.1838,0.9526,1.012
0.568572135,0.2883,0.1882,0.9526,1.013
0.569345937,0.2868,0.1886,0.9552,1.015
0.571652968,0.2902,0.1904,0.9569,1.018
0.571918645,0.2892,0.1948,0.9562,1.018
0.576633958,0.2907,0.1972,0.9526,1.015
0.576962916,0.2895,0.1965,0.9474,1.010
0.581405051,0.2870,0.1984,0.9481,1.010
0.581933749,0.2831,0.2002,0.9459,1.007
0.585929478,0.2851,0.1997,0.9440,1.006
0.586218489,0.2800,0.1980,0.9374,0.998
0.590755624,0.2736,0.1943,0.9349,0.993
0.591045676,0.2707,0.1943,0.9345,0.992
0.595417239,0.2660,0.1928,0.9352,0.991
0.595724947,0.2629,0.1938,0.9388,0.994
0.600434635,0.2599,0.1926,0.9376,0.992
0.600903906,0.2585,0.1919,0.9264,0.981
0.605031041,0.2558,0.1889,0.9276,0.981
0.605246301,0.2528,0.1869,0.9227,0.975
0.609975781,0.2528,0.1877,0.9193,0.972
0.610130676,0.2582,0.1879,0.9269,0.980
0.614675989,0.2634,0.1911,0.9337,0.989
0.615112239,0.2675,0.1891,0.9347,0.990
0.619700364,0.2709,0.1899,0.9335,0.990
0.61998276,0.2744,0.1921,0.9359,0.994
0.62428401,0.2780,0.1908,0.9323,0.991
0.624552603,0.2817,0.1904,0.9296,0.990
0.629154895,0.2846,0.1921,0.9357,0.997
0.629369843,0.2875,0.1933,0.9415,1.003
0.64541677,0.2922,0.1928,0.9425,1.005
0.646241822,0.2914,0.1916,0.9401,1.003
0.646590156,0.2824,0.1860,0.9330,0.992
0.646893853,0.2709,0.1825,0.9288,0.985
0.64715651,0.2609,0.1803,0.9362,0.988
0.647433749,0.2534,0.1799,0.9413,0.991
0.64858927,0.2534,0.1803,0.9567,1.006
0.649040728,0.2555,0.1806,0.9577,1.008
0.653405416,0.2646,0.1828,0.9584,1.011
0.65392052,0.2846,0.1886,0.9594,1.018
0.658172083,0.2975,0.1908,0.9650,1.028
0.658605989,0.3015,0.1928,0.9631,1.027
0.663791978,0.3022,0.1928,0.9550,1.020
0.664343281,0.3010,0.1923,0.9435,1.009
0.667854791,0.2936,0.1896,0.9366,1.000
0.668332499,0.2888,0.1811,0.9342,0.994
0.672588801,0.2792,0.1796,0.9276,0.985
0.673055364,0.2741,0.1747,0.9218,0.977
0.677458437,0.2680,0.1723,0.9144,0.968
0.677907551,0.2612,0.1711,0.9159,0.968
0.684277968,0.2592,0.1677,0.9308,0.981
0.684893853,0.2668,0.1620,0.9640,1.013
0.687171718,0.2675,0.1645,0.9716,1.021
0.687551041,0.2709,0.1640,0.9706,1.021
0.691443541,0.2704,0.1691,0.9677,1.019
0.691821666,0.2685,0.1718,0.9543,1.006
0.697669531,0.2658,0.1674,0.9506,1.001
0.698390156,0.2704,0.1640,0.9848,1.034
0.70148052,0.2775,0.1652,1.0028,1.054
0.702007135,0.2573,0.1711,0.8807,0.933
0.706218801,0.2426,0.1694,0.8643,0.914
0.706565572,0.2404,0.1735,0.8912,0.939
0.710705103,0.2453,0.1799,0.8949,0.945
0.711047447,0.2487,0.1823,0.9010,0.952
0.716886562,0.2548,0.1872,0.9056,0.959
0.717983124,0.2553,0.1882,0.9122,0.966
0.720360156,0.2590,0.1884,0.9176,0.972
0.720690468,0.2614,0.1896,0.9200,0.975
0.725153437,0.2609,0.1872,0.9110,0.966
0.725455728,0.2487,0.1779,0.9066,0.957
0.731057291,0.2335,0.1672,0.9088,0.953
0.73162026,0.2150,0.1628,0.9066,0.946
0.734968333,0.2155,0.1684,0.9025,0.943
0.735371562,0.2191,0.1645,0.8942,0.935
0.739758906,0.2375,0.1576,0.9252,0.968
0.740160676,0.2614,0.1581,0.9689,1.016
0.744274583,0.2673,0.1579,0.9471,0.997
0.744530937,0.2736,0.1677,0.9115,0.966
0.749446093,0.2795,0.1630,0.9450,0.999
0.749759062,0.2961,0.1828,0.9738,1.034
0.754309062,0.3166,0.2016,0.9884,1.057
0.754613853,0.3340,0.2036,0.9880,1.063
0.758746353,0.3442,0.2045,0.9735,1.053
0.759139947,0.3506,0.2004,0.9623,1.044
0.765793072,0.3528,0.1965,0.9565,1.038
0.766245416,0.3513,0.1911,0.9545,1.035
0.76831828,0.3518,0.1904,0.9552,1.036
0.768662655,0.3535,0.1904,0.9565,1.037
0.773260416,0.3535,0.1906,0.9601,1.041
0.773663072,0.3515,0.1891,0.9572,1.037
0.777973853,0.3432,0.1886,0.9574,1.034
0.778257968,0.3425,0.1869,0.9513,1.028
0.782994114,0.3340,0.1874,0.9445,1.019
0.783433124,0.3288,0.1843,0.9454,1.018
0.788522187,0.3183,0.1803,0.9364,1.005
0.788821926,0.3169,0.1789,0.9340,1.002
0.792434062,0.3178,0.1772,0.9305,0.999
0.792752395,0.3200,0.1860,0.9327,1.004
0.797262499,0.3239,0.1808,0.9335,1.004
0.797642187,0.3215,0.1784,0.9291,0.999
0.802031614,0.3217,0.1794,0.9303,1.001
0.802331353,0.3210,0.1774,0.9286,0.998
0.80687328,0.3171,0.1789,0.9298,0.999
0.807104687,0.3178,0.1813,0.9262,0.996
0.811720885,0.3176,0.1838,0.9281,0.998
0.811955103,0.3154,0.1843,0.9283,0.998
0.816598228,0.3149,0.1867,0.9266,0.996
0.817123541,0.3132,0.1850,0.9264,0.995
0.821098749,0.3120,0.1865,0.9298,0.998
0.82136453,0.3110,0.1877,0.9313,1.000
0.826089426,0.3058,0.1894,0.9354,1.002
0.826380208,0.3090,0.1923,0.9401,1.008
0.830925572,0.3127,0.1943,0.9398,1.009
0.831267135,0.3110,0.1960,0.9410,1.010
0.835610312,0.3108,0.1982,0.9413,1.011
0.83596328,0.3120,0.1994,0.9425,1.013
0.84078276,0.3088,0.1987,0.9413,1.010
0.841056249,0.3110,0.1997,0.9413,1.011
0.844905572,0.3102,0.1980,0.9403,1.010
0.845112551,0.3093,0.1965,0.9406,1.009
0.85044177,0.3113,0.1953,0.9376,1.007
0.851806405,0.3098,0.1950,0.9398,1.009
0.854736458,0.3088,0.1943,0.9396,1.008
0.855049166,0.3102,0.1948,0.9366,1.006
0.859705624,0.3093,0.1908,0.9379,1.006
0.860118176,0.3122,0.1874,0.9381,1.006
0.864328333,0.3125,0.1879,0.9396,1.008
0.864876822,0.3090,0.1840,0.9386,1.005
0.869247291,0.3095,0.1840,0.9364,1.003
0.869543333,0.3108,0.1833,0.9371,1.004
0.873784635,0.3083,0.1825,0.9354,1.002
0.874010103,0.3058,0.1808,0.9315,0.997
0.878643905,0.3044,0.1794,0.9313,0.996
0.878909687,0.3044,0.1781,0.9279,0.993
0.883556197,0.3019,0.1774,0.9288,0.993
0.884185885,0.2971,0.1786,0.9283,0.991
0.888767187,0.2988,0.1791,0.9271,0.990
0.889102916,0.2973,0.1796,0.9274,0.990
0.893374687,0.2973,0.1816,0.9305,0.994
0.893662343,0.2978,0.1828,0.9315,0.995
0.897915364,0.2973,0.1816,0.9325,0.995
0.898397812,0.2978,0.1816,0.9337,0.997
0.902690624,0.2963,0.1847,0.9325,0.996
0.903124426,0.2958,0.1835,0.9320,0.995
0.907840103,0.2978,0.1825,0.9301,0.993
0.908091562,0.2956,0.1850,0.9308,0.994
0.912280416,0.2922,0.1840,0.9274,0.990
0.912590416,0.2885,0.1821,0.9305,0.991
0.917959895,0.2912,0.1813,0.9310,0.992
0.91849552,0.2883,0.1801,0.9352,0.995
0.921976041,0.2875,0.1799,0.9418,1.001
0.922761458,0.2834,0.1774,0.9454,1.003
0.926650572,0.2875,0.1747,0.9454,1.004
0.926983801,0.2956,0.1852,0.9254,0.989
0.931617447,0.2978,0.1823,0.9149,0.979
0.93198651,0.2946,0.1843,0.9152,0.979
0.93672802,0.2927,0.1869,0.9161,0.980
0.937111145,0.2914,0.1899,0.9244,0.988
0.941582083,0.2971,0.1931,0.9308,0.996
0.942341041,0.3000,0.1938,0.9342,1.000
0.945923333,0.3019,0.1911,0.9393,1.005
0.946138385,0.3002,0.1891,0.9386,1.003
0.951546614,0.2990,0.1869,0.9415,1.005
0.952010468,0.2995,0.1860,0.9410,1.005
0.955817655,0.3041,0.1847,0.9418,1.007
0.956143801,0.3058,0.1860,0.9437,1.009
0.960533853,0.3068,0.1838,0.9493,1.014
0.960778853,0.3066,0.1835,0.9550,1.020
0.965276978,0.3100,0.1823,0.9604,1.025
0.965716353,0.3108,0.1830,0.9579,1.024
0.970048332,0.3139,0.1823,0.9498,1.017
0.970392135,0.3156,0.1803,0.9491,1.016
0.974542395,0.3122,0.1799,0.9452,1.012
0.97479828,0.3132,0.1794,0.9432,1.010
0.980928853,0.3117,0.1799,0.9408,1.007
0.981430364,0.3113,0.1786,0.9347,1.001
0.984515051,0.3108,0.1791,0.9276,0.995
0.984787603,0.3071,0.1767,0.9281,0.993
0.989186926,0.3039,0.1762,0.9305,0.995
0.989429999,0.3058,0.1764,0.9337,0.998
0.993928332,0.3034,0.1772,0.9337,0.998
0.994177135,0.3051,0.1796,0.9244,0.990
0.999655103,0.3061,0.1808,0.9257,0.992
1.000145468,0.3071,0.1808,0.9315,0.997
1.003894739,0.3058,0.1808,0.9379,1.003
1.004282707,0.3054,0.1808,0.9359,1.001
1.008649114,0.3061,0.1840,0.9327,0.999
1.00896552,0.3071,0.1865,0.9279,0.995
1.014523905,0.3076,0.1860,0.9259,0.993
1.015196718,0.3080,0.1865,0.9279,0.995
1.017840832,0.3058,0.1835,0.9318,0.998
1.018248957,0.3015,0.1816,0.9325,0.997
1.023012864,0.2951,0.1774,0.9313,0.993
1.023383905,0.2932,0.1767,0.9305,0.991
1.027417603,0.2922,0.1757,0.9240,0.985
1.027778697,0.2905,0.1725,0.9237,0.984
1.032206301,0.2917,0.1725,0.9271,0.987
1.03270651,0.2924,0.1752,0.9301,0.991
1.037407551,0.2907,0.1760,0.9305,0.991
1.037728541,0.2936,0.1794,0.9313,0.993
1.041831874,0.2939,0.1796,0.9296,0.991
1.042090468,0.2944,0.1786,0.9320,0.994
1.050478385,0.2949,0.1777,0.9303,0.992
1.05101302,0.2944,0.1791,0.9323,0.994
1.051303228,0.2924,0.1767,0.9342,0.995
1.051485624,0.2956,0.1803,0.9283,0.991
1.056366457,0.2966,0.1838,0.9325,0.996
1.056755155,0.2963,0.1825,0.9364,0.999
1.061237864,0.2963,0.1821,0.9352,0.998
1.061561249,0.2953,0.1813,0.9388,1.001
1.065840103,0.2951,0.1825,0.9374,1.000
1.066361666,0.2946,0.1816,0.9388,1.001
1.070716249,0.2924,0.1791,0.9425,1.003
1.071021041,0.2944,0.1811,0.9374,0.999
1.07552703,0.2939,0.1811,0.9381,1.000
1.075786978,0.2953,0.1808,0.9393,1.001
1.080882916,0.2953,0.1803,0.9391,1.001
1.08132328,0.2944,0.1791,0.9362,0.998
1.084820728,0.2946,0.1769,0.9340,0.995
1.085160103,0.2946,0.1774,0.9342,0.995
1.089767135,0.2917,0.1755,0.9349,0.995
1.090120937,0.2892,0.1740,0.9320,0.991
1.095127864,0.2890,0.1708,0.9345,0.993
1.09539651,0.2912,0.1711,0.9327,0.992
1.09957453,0.2932,0.1718,0.9371,0.997
1.10015328,0.2951,0.1733,0.9332,0.994
1.10461276,0.3005,0.1784,0.9303,0.994
1.10515953,0.3024,0.1811,0.9269,0.992
1.109262655,0.3049,0.1828,0.9269,0.993
1.109592395,0.3090,0.1838,0.9293,0.996
1.114772499,0.3056,0.1835,0.9318,0.998
1.115232968,0.3066,0.1825,0.9330,0.999
1.118719687,0.3046,0.1852,0.9342,1.000
1.119121978,0.3056,0.1852,0.9291,0.995
1.12371177,0.3044,0.1833,0.9320,0.997
1.124038905,0.3034,0.1845,0.9359,1.001
1.128147499,0.3007,0.1862,0.9366,1.001
1.12845651,0.3017,0.1840,0.9337,0.998
1.133203853,0.3032,0.1852,0.9345,1.000
1.134379426,0.2997,0.1833,0.9347,0.999
1.138313176,0.2978,0.1845,0.9354,0.999
1.138631145,0.3005,0.1825,0.9332,0.997
1.142483437,0.2978,0.1847,0.9354,0.999
1.142890364,0.2968,0.1833,0.9352,0.998
1.150831041,0.2975,0.1803,0.9366,0.999
1.151514687,0.2985,0.1830,0.9352,0.999
1.152109582,0.2975,0.1818,0.9323,0.995
1.152316145,0.2953,0.1803,0.9296,0.992
1.157422707,0.2936,0.1796,0.9308,0.992
1.157799635,0.2944,0.1774,0.9313,0.993
1.161906457,0.2941,0.1794,0.9308,0.992
1.162294478,0.2971,0.1799,0.9288,0.992
1.167147291,0.2980,0.1799,0.9262,0.989
1.167935364,0.2971,0.1816,0.9281,0.991
1.171696041,0.2997,0.1811,0.9303,0.994
1.172082707,0.3012,0.1835,0.9305,0.995
1.176943801,0.3010,0.1850,0.9288,0.994
1.177288905,0.2990,0.1840,0.9308,0.995
1.181589895,0.3000,0.1845,0.9325,0.997
1.182220207,0.3051,0.1816,0.9340,0.999
1.185672551,0.3027,0.1825,0.9340,0.999
1.186023957,0.3019,0.1803,0.9354,0.999
1.190636249,0.3044,0.1818,0.9364,1.001
1.190902082,0.3022,0.1838,0.9354,1.000
1.195460416,0.3027,0.1825,0.9357,1.000
1.195818072,0.3027,0.1803,0.9401,1.004
1.200423853,0.3029,0.1796,0.9406,1.004
1.200927759,0.3012,0.1791,0.9357,0.999
1.204742291,0.3005,0.1811,0.9345,0.998
1.205052864,0.3010,0.1821,0.9379,1.002
1.209953697,0.2975,0.1808,0.9349,0.998
1.210267499,0.3005,0.1781,0.9325,0.996
1.214839426,0.2966,0.1794,0.9325,0.995
1.215314426,0.2963,0.1781,0.9320,0.994
1.219714947,0.2971,0.1808,0.9323,0.995
1.220182551,0.2951,0.1786,0.9323,0.994
1.224010937,0.2971,0.1772,0.9310,0.993
1.224428124,0.2958,0.1769,0.9301,0.992
1.228681093,0.2983,0.1762,0.9332,0.995
1.229122968,0.2949,0.1757,0.9320,0.993
1.234106041,0.2949,0.1789,0.9335,0.995
1.234556666,0.2968,0.1757,0.9303,0.992
1.239047551,0.2944,0.1747,0.9337,0.994
1.239496562,0.2951,0.1752,0.9381,0.999
1.24346078,0.2961,0.1767,0.9381,0.999
1.243959218,0.2995,0.1821,0.9349,0.998
1.251361301,0.2997,0.1843,0.9340,0.998
1.252109999,0.3019,0.1862,0.9352,1.000
1.253433072,0.3027,0.1877,0.9354,1.001
1.253732864,0.3027,0.1901,0.9315,0.998
1.258767082,0.3041,0.1926,0.9303,0.998
1.259136301,0.3024,0.1928,0.9301,0.997
1.262535155,0.3017,0.1931,0.9276,0.994
1.262941041,0.3024,0.1936,0.9286,0.996
1.267378228,0.3024,0.1926,0.9327,0.999
1.267833124,0.3041,0.1926,0.9398,1.006
1.272151249,0.3056,0.1906,0.9403,1.007
1.272388645,0.3063,0.1919,0.9440,1.011
1.277613749,0.3080,0.1901,0.9428,1.010
1.277880051,0.3083,0.1855,0.9418,1.008
1.281775416,0.3098,0.1855,0.9442,1.011
1.282332655,0.3093,0.1828,0.9435,1.010
1.286855937,0.3083,0.1813,0.9406,1.006
1.28762677,0.3100,0.1806,0.9415,1.008
1.291569582,0.3122,0.1791,0.9413,1.008
1.291832603,0.3115,0.1769,0.9398,1.006
1.29592328,0.3130,0.1755,0.9371,1.003
1.296177291,0.3137,0.1755,0.9327,1.000
1.301097082,0.3161,0.1757,0.9271,0.995
1.301716822,0.3161,0.1764,0.9262,0.994
1.305923541,0.3147,0.1735,0.9247,0.992
1.306308853,0.3125,0.1757,0.9235,0.991
1.31044703,0.3120,0.1755,0.9227,0.990
1.310766874,0.3095,0.1786,0.9210,0.988
1.316656562,0.3100,0.1767,0.9240,0.990
